name,code,Date,Total confirmed deaths (deaths),cases
Peru,PER,"Apr 17, 2020",274,12491
Philippines,PHL,"Apr 17, 2020",362,5660
Poland,POL,"Apr 17, 2020",314,7918
Portugal,PRT,"Apr 17, 2020",629,18841
Puerto Rico,PRI,"Apr 17, 2020",56,1043
Qatar,QAT,"Apr 17, 2020",7,4103
Romania,ROU,"Apr 17, 2020",387,7707
Russia,RUS,"Apr 17, 2020",232,27938
Rwanda,RWA,"Apr 17, 2020",0,138
Saint Kitts and Nevis,KNA,"Apr 17, 2020",0,14
Saint Lucia,LCA,"Apr 17, 2020",0,15
Saint Vincent and the Grenadines,VCT,"Apr 17, 2020",0,12
San Marino,SMR,"Apr 17, 2020",38,426
Sao Tome and Principe,STP,"Apr 17, 2020",0,4
Saudi Arabia,SAU,"Apr 17, 2020",83,6380
Senegal,SEN,"Apr 17, 2020",2,335
Serbia,SRB,"Apr 17, 2020",103,5318
Seychelles,SYC,"Apr 17, 2020",0,11
Sierra Leone,SLE,"Apr 17, 2020",0,15
Singapore,SGP,"Apr 17, 2020",10,4427
Sint Maarten (Dutch part),SXM,"Apr 17, 2020",9,57
Slovakia,SVK,"Apr 17, 2020",8,977
Slovenia,SVN,"Apr 17, 2020",61,1268
Somalia,SOM,"Apr 17, 2020",5,80
South Africa,ZAF,"Apr 17, 2020",48,2605
South Korea,KOR,"Apr 17, 2020",230,10635
South Sudan,SSD,"Apr 17, 2020",0,4
Spain,ESP,"Apr 17, 2020",19130,182816
Sri Lanka,LKA,"Apr 17, 2020",7,238
Sudan,SDN,"Apr 17, 2020",5,32
Suriname,SUR,"Apr 17, 2020",1,10
Swaziland,SWZ,"Apr 17, 2020",0,16
Sweden,SWE,"Apr 17, 2020",1333,12540
Switzerland,CHE,"Apr 17, 2020",1333,26651
Syria,SYR,"Apr 17, 2020",2,33
Taiwan,TWN,"Apr 17, 2020",6,395
Tanzania,TZA,"Apr 17, 2020",4,94
Thailand,THA,"Apr 17, 2020",47,2700
Timor,TLS,"Apr 17, 2020",0,18
Togo,TGO,"Apr 17, 2020",5,81
Trinidad and Tobago,TTO,"Apr 17, 2020",8,114
Tunisia,TUN,"Apr 17, 2020",37,822
Turkey,TUR,"Apr 17, 2020",1643,74193
Turks and Caicos Islands,TCA,"Apr 17, 2020",1,11
Uganda,UGA,"Apr 17, 2020",0,55
Ukraine,UKR,"Apr 17, 2020",125,4462
United Arab Emirates,ARE,"Apr 17, 2020",33,5825
United Kingdom,GBR,"Apr 17, 2020",13729,103093
United States,USA,"Apr 17, 2020",33284,671331
United States Virgin Islands,VIR,"Apr 17, 2020",1,51
Uruguay,URY,"Apr 17, 2020",9,552
Uzbekistan,UZB,"Apr 17, 2020",4,1380
Vatican,VAT,"Apr 17, 2020",0,8
Venezuela,VEN,"Apr 17, 2020",9,204
Vietnam,VNM,"Apr 17, 2020",0,275
Yemen,YEM,"Apr 17, 2020",0,1
Zambia,ZMB,"Apr 17, 2020",2,48
Zimbabwe,ZWE,"Apr 17, 2020",3,24
